DEPTH,TVDSS,GR,RT,NPHI,RHOB,VCALCITE,VQUARTZ,VSH,VCOAL,VORGSH,VGAS,VOIL,VWATER,PHIT,PHIE,SWE,PERM,LITHO,FLUID,Wells
3244.5,3022.2882,76.9063,6658.8086,0.4187,2.1567,0.0,0.212047,0.5905,0.0,0.0,0.005851,0.189647,0.001984,0.197482,0.124403,0.0101,0.1477,6.0,,SH-15
3245.0,3022.7627,77.282,60467.7578,0.403,2.1509,0.0,0.21187,0.5935,0.0,0.0,0.018184,0.175784,0.000651,0.194619,0.123293,0.0033,0.1396,6.0,,SH-15
3245.5,3023.2371,77.6112,60467.7578,0.399,2.124,0.0,0.199481,0.5977,0.0,0.0,0.0311,0.171006,0.000665,0.202772,0.121751,0.0033,0.129,6.0,,SH-15
3246.0,3023.7116,65.8327,60467.7578,0.4021,2.0769,0.0,0.262758,0.495,0.0,0.0,0.02339,0.218031,0.000812,0.242233,0.159959,0.0034,10.7453,1.0,11.0,SH-15
3246.5,3024.186,59.659,60467.7578,0.3994,2.0492,0.0,0.296006,0.4411,0.0,0.0,0.023131,0.23882,0.000895,0.262847,0.180641,0.0034,19.3163,1.0,11.0,SH-15
3247.0,3024.6604,54.392,12033.4121,0.4029,2.035,0.0,0.326663,0.3949,0.0,0.0,0.016482,0.259785,0.002168,0.278434,0.198721,0.0078,30.6007,1.0,11.0,SH-15
3247.5,3025.1348,44.3907,50.619,0.4381,2.0347,0.0,0.388237,0.3109,0.0,0.0,0.0,0.262602,0.038215,0.300816,0.232247,0.127,64.906,1.0,11.0,SH-15
3248.0,3025.6092,40.1188,13.7938,0.489,2.0402,0.0,0.409285,0.282,0.0,0.0,0.0,0.231919,0.076788,0.308707,0.243997,0.2487,82.3496,1.0,11.0,SH-15
3248.5,3026.0835,42.2141,16.0897,0.5226,2.0285,0.0,0.38254,0.3048,0.0,0.0,0.0,0.242892,0.069722,0.312614,0.23471,0.223,68.2929,1.0,11.0,SH-15
3249.0,3026.5579,52.3211,15.5842,0.5424,1.9918,0.0,0.285272,0.3943,0.0,0.0,0.0,0.255627,0.064835,0.320461,0.198959,0.2023,30.7778,1.0,11.0,SH-15
3249.5,3027.0322,68.7087,2.7354,0.555,1.9295,0.0,0.119419,0.5368,0.0,0.0,0.0,0.203269,0.140465,0.343734,0.144175,0.4086,0.3736,6.0,,SH-15
3250.0,3027.5065,74.2408,2.2561,0.5432,1.8516,0.0,0.046379,0.5904,0.0,0.0,0.039896,0.170245,0.153127,0.363267,0.124424,0.4215,0.1479,6.0,,SH-15
3250.5,3027.9807,73.6118,1.9793,0.5436,1.7928,0.0,0.022904,0.5883,0.0,0.0,0.05796,0.161388,0.169433,0.38878,0.125165,0.4358,0.1535,6.0,,SH-15
3251.0,3028.455,70.8189,2.0125,0.555,1.7761,0.0,0.032021,0.5647,0.0,0.0,0.052195,0.17731,0.173762,0.403267,0.133823,0.4309,0.2338,6.0,,SH-15
3251.5,3028.9292,71.8189,1.7202,0.5547,1.7946,0.0,0.031719,0.5728,0.0,0.0,0.04868,0.161648,0.18517,0.395498,0.130849,0.4682,0.2029,6.0,,SH-15
3252.0,3029.4034,71.8856,1.3993,0.5511,1.8215,0.0,0.042003,0.572,0.0,0.0,0.042858,0.140177,0.202962,0.385997,0.131135,0.5258,0.2058,6.0,,SH-15
3252.5,3029.8776,76.4724,1.3435,0.5355,1.8505,0.0,0.026889,0.6108,0.0,0.0,0.050051,0.116779,0.195501,0.36233,0.117007,0.5396,0.1004,6.0,,SH-15
3253.0,3030.3517,72.9601,15.419,0.5079,1.9026,0.0,0.099285,0.5733,0.0,0.0,0.036903,0.2344,0.056146,0.327449,0.130665,0.1715,0.2012,6.0,,SH-15
3253.5,3030.8259,70.2792,14202.9805,0.4837,1.9493,0.0,0.152144,0.5449,0.0,0.0,0.028026,0.273077,0.001813,0.302916,0.141139,0.006,0.3268,6.0,,SH-15
3254.0,3031.3,69.9652,60467.7578,0.4629,1.9744,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
