iter	Passed	Remaining
399	32007	48011
400	32088	47932
401	32175	47862
402	32248	47772
403	32332	47698
404	32400	47601
405	32474	47511
406	32548	47423
407	32618	47328
408	32699	47249
409	32772	47160
410	32838	47060
411	32913	46973
412	32984	46880
413	33062	46797
414	33142	46718
415	33214	46627
416	33295	46549
417	33367	46459
418	33447	46379
419	33520	46290
420	33596	46205
421	33680	46130
422	33763	46056
423	33848	45983
424	33925	45899
425	34005	45819
426	34079	45732
427	34161	45655
428	34233	45565
429	34321	45495
430	34397	45410
431	34485	45342
432	34560	45255
433	34646	45184
434	34723	45100
435	34804	45022
436	34884	44942
437	34966	44865
438	35040	44777
439	35114	44691
440	35200	44619
441	35289	44551
442	35359	44459
443	35439	44379
444	35518	44298
445	35596	44216
446	35674	44133
447	35762	44064
448	35843	43985
449	35924	43907
450	36006	43830
451	36082	43745
452	36163	43667
453	36248	43594
454	36321	43506
455	36401	43426
456	36481	43347
457	36560	43265
458	36644	43191
459	36720	43106
460	36803	43030
461	36879	42945
462	36968	42876
463	37037	42784
464	37126	42715
465	37204	42633
466	37288	42558
467	37366	42476
468	37436	42384
469	37508	42296
470	37591	42220
471	37674	42144
472	37748	42057
473	37836	41987
474	37921	41913
475	38004	41836
476	38084	41757
477	38163	41675
478	38242	41595
479	38324	41518
480	38394	41427
481	38487	41362
482	38557	41271
483	38637	41191
484	38715	41110
485	38797	41032
486	38883	40959
487	38972	40889
488	39036	40793
489	39117	40714
490	39192	40629
491	39271	40548
492	39351	40468
493	39431	40389
494	39500	40298
495	39574	40212
496	39662	40141
497	39747	40066
498	39822	39982
499	39910	39910
500	39984	39824
501	40060	39740
502	40140	39661
503	40219	39581
504	40291	39493
505	40360	39403
506	40435	39318
507	40522	39246
508	40611	39175
509	40686	39090
510	40756	39001
511	40832	38918
512	40907	38834
513	40984	38751
514	41070	38678
515	41154	38602
516	41235	38524
517	41303	38432
518	41383	38353
519	41475	38284
520	41552	38202
521	41636	38127
522	41705	38037
523	41777	37950
524	41861	37874
525	41926	37781
526	42008	37704
527	42085	37622
528	42173	37549
529	42255	37471
530	42335	37391
531	42402	37301
532	42481	37221
533	42556	37137
534	42638	37059
535	42701	36965
536	42782	36886
537	42859	36804
538	42941	36727
539	43018	36644
540	43104	36571
541	43188	36495
542	43259	36408
543	43329	36320
544	43415	36246
545	43507	36176
546	43581	36092
547	43661	36013
548	43730	35924
549	43816	35850
550	43889	35764
551	43958	35676
552	44045	35603
553	44130	35527
554	44202	35441
555	44286	35365
556	44370	35289
557	44445	35205
558	44530	35130
559	44611	35052
560	44688	34970
561	44754	34879
562	44831	34797
563	44915	34721
564	44984	34634
565	45070	34559
566	45148	34478
567	45228	34399
568	45316	34325
569	45388	34240
570	45465	34158
571	45546	34080
572	45629	34002
573	45705	33920
574	45782	33839
575	45863	33760
576	45938	33677
577	46019	33599
578	46093	33515
579	46167	33431
580	46246	33351
581	46335	33278
582	46416	33199
583	46497	33121
584	46577	33042
585	46651	32958
586	46742	32886
587	46823	32808
588	46916	32737
589	46993	32656
590	47078	32580
591	47163	32504
592	47229	32415
593	47307	32334
594	47395	32260
595	47461	32171
596	47535	32088
597	47618	32011
598	47702	31934
599	47779	31852
600	47866	31778
601	47944	31697
602	48017	31613
603	48102	31537
604	48176	31453
605	48264	31379
606	48344	31300
607	48417	31216
608	48501	31139
609	48584	31062
610	48662	30981
611	48738	30899
612	48816	30818
613	48886	30733
614	48967	30654
615	49042	30571
616	49125	30494
617	49202	30412
618	49285	30335
619	49373	30261
620	49449	30179
621	49515	30091
622	49595	30011
623	49682	29936
624	49761	29857
625	49835	29774
626	49915	29694
627	49992	29613
628	50076	29536
629	50156	29456
630	50244	29382
631	50312	29295
632	50400	29221
633	50478	29140
634	50561	29063
635	50648	28987
636	50729	28908
637	50821	28836
638	50906	28759
639	50976	28674
640	51055	28594
641	51141	28518
642	51211	28433
643	51291	28353
644	51363	28269
645	51447	28192
646	51529	28114
647	51609	28034
648	51687	27954
649	51775	27879
650	51856	27800
651	51939	27722
652	52018	27642
653	52096	27561
654	52175	27481
655	52256	27402
656	52339	27324
657	52409	27240
658	52483	27157
659	52567	27080
660	52650	27002
661	52727	26921
662	52807	26841
663	52874	26756
664	52964	26681
665	53044	26601
666	53124	26522
667	53201	26441
668	53283	26363
669	53375	26289
670	53457	26211
671	53534	26129
672	53606	26046
673	53689	25968
674	53781	25894
675	53876	25822
676	53963	25746
677	54050	25669
678	54128	25589
679	54225	25518
680	54310	25440
681	54400	25365
682	54481	25286
683	54561	25206
684	54656	25133
685	54733	25053
686	54806	24970
687	54881	24888
688	54958	24807
689	55029	24723
690	55106	24642
691	55179	24559
692	55258	24479
693	55343	24401
694	55432	24326
695	55511	24246
696	55594	24168
697	55668	24085
698	55754	24008
699	55836	23929
700	55914	23849
701	55995	23770
702	56074	23689
703	56165	23615
704	56249	23536
705	56325	23455
706	56406	23376
707	56494	23300
708	56578	23222
709	56657	23141
710	56746	23065
711	56822	22984
712	56901	22904
713	56971	22820
714	57051	22740
715	57145	22666
716	57224	22586
717	57300	22505
718	57385	22427
719	57459	22345
720	57545	22268
721	57620	22186
722	57690	22102
723	57764	22020
724	57848	21942
725	57936	21865
726	58017	21786
727	58094	21705
728	58173	21625
729	58250	21544
730	58327	21463
731	58414	21386
732	58490	21305
733	58570	21225
734	58648	21145
735	58726	21065
736	58814	20988
737	58900	20910
738	58963	20824
739	59050	20747
740	59134	20669
741	59216	20590
742	59301	20512
743	59388	20434
744	59476	20357
745	59549	20275
746	59635	20197
747	59724	20120
748	59805	20041
749	59892	19964
750	59980	19886
751	60065	19808
752	60159	19733
753	60239	19653
754	60327	19576
755	60399	19493
756	60491	19417
757	60581	19341
758	60667	19263
759	60748	19183
760	60833	19105
761	60913	19025
762	60989	18944
763	61059	18861
764	61146	18783
765	61225	18703
766	61298	18621
767	61385	18543
768	61470	18465
769	61545	18383
770	61628	18304
771	61700	18222
772	61789	18145
773	61860	18062
774	61935	17981
775	62015	17901
776	62090	17820
777	62169	17739
778	62266	17664
779	62349	17585
780	62432	17506
781	62514	17427
782	62591	17346
783	62677	17268
784	62763	17190
785	62846	17110
786	62926	17030
787	63001	16949
788	63089	16871
789	63173	16792
790	63255	16713
791	63335	16633
792	63419	16554
793	63496	16474
794	63581	16395
795	63652	16313
796	63725	16231
797	63802	16150
798	63881	16070
799	63964	15991
800	64038	15909
801	64118	15829
802	64207	15751
803	64293	15673
804	64380	15595
805	64453	15513
806	64541	15435
807	64604	15351
808	64685	15271
809	64758	15190
810	64845	15111
811	64928	15032
812	65010	14953
813	65099	14875
814	65191	14798
815	65268	14717
816	65349	14637
817	65427	14557
818	65501	14475
819	65593	14398
820	65676	14319
821	65774	14243
822	65856	14163
823	65939	14084
824	66013	14002
825	66085	13921
826	66159	13839
827	66234	13758
828	66305	13677
829	66380	13596
830	66460	13515
831	66537	13435
832	66615	13355
833	66689	13273
834	66764	13192
835	66854	13114
836	66945	13037
837	67032	12958
838	67113	12878
839	67197	12799
840	67260	12716
841	67345	12637
842	67420	12556
843	67513	12478
844	67602	12400
845	67680	12320
846	67760	12240
847	67834	12159
848	67912	12078
849	68000	12000
850	68069	11918
851	68146	11837
852	68226	11757
853	68315	11679
854	68398	11599
855	68483	11520
856	68573	11442
857	68646	11361
858	68741	11283
859	68826	11204
860	68914	11125
861	68991	11045
862	69072	10965
863	69148	10884
864	69230	10804
865	69314	10725
866	69403	10646
867	69480	10566
868	69558	10485
869	69651	10407
870	69737	10328
871	69819	10248
872	69903	10169
873	69984	10089
874	70067	10009
875	70156	9930
876	70234	9850
877	70326	9772
878	70396	9690
879	70474	9610
880	70564	9531
881	70648	9451
882	70731	9372
883	70809	9291
884	70890	9211
885	70968	9131
886	71050	9051
887	71135	8972
888	71218	8892
889	71287	8810
890	71371	8731
891	71443	8650
892	71523	8570
893	71603	8489
894	71683	8409
895	71768	8330
896	71853	8250
897	71928	8170
898	72013	8090
899	72102	8011
900	72186	7931
901	72270	7851
902	72352	7772
903	72432	7691
904	72502	7610
905	72594	7531
906	72675	7451
907	72771	7373
908	72852	7293
909	72944	7214
910	73044	7136
911	73127	7056
912	73208	6976
913	73280	6895
914	73362	6815
915	73434	6734
916	73521	6654
917	73609	6575
918	73703	6496
919	73775	6415
920	73856	6335
921	73934	6254
922	74020	6175
923	74090	6094
924	74176	6014
925	74247	5933
926	74338	5854
927	74409	5773
928	74493	5693
929	74583	5613
930	74661	5533
931	74741	5453
932	74823	5373
933	74907	5293
934	74990	5213
935	75066	5132
936	75149	5052
937	75229	4972
938	75313	4892
939	75392	4812
940	75468	4731
941	75546	4651
942	75630	4571
943	75716	4491
944	75808	4412
945	75894	4332
946	75982	4252
947	76077	4173
948	76148	4092
949	76223	4011
950	76296	3931
951	76373	3850
952	76459	3770
953	76542	3690
954	76612	3610
955	76696	3529
956	76785	3450
957	76872	3370
958	76966	3290
959	77059	3210
960	77148	3130
961	77235	3050
962	77315	2970
963	77392	2890
964	77472	2809
965	77550	2729
966	77635	2649
967	77722	2569
968	77810	2489
969	77892	2409
970	77967	2328
971	78047	2248
972	78124	2167
973	78202	2087
974	78294	2007
975	78372	1927
976	78452	1846
977	78547	1766
978	78626	1686
979	78699	1606
980	78788	1525
981	78871	1445
982	78953	1365
983	79037	1285
984	79120	1204
985	79217	1124
986	79299	1044
987	79379	964
988	79455	883
989	79538	803
990	79622	723
991	79708	642
992	79785	562
993	79868	482
994	79951	401
995	80032	321
996	80122	241
997	80204	160
998	80294	80
999	80378	0
