iter	Passed	Remaining
398	38219	57568
399	38315	57472
400	38400	57361
401	38487	57252
402	38572	57141
403	38660	57033
404	38742	56917
405	38819	56795
406	38912	56695
407	39000	56588
408	39098	56497
409	39205	56418
410	39299	56320
411	39383	56207
412	39454	56077
413	39551	55984
414	39645	55885
415	39730	55775
416	39812	55660
417	39888	55537
418	39988	55449
419	40086	55357
420	40190	55274
421	40291	55185
422	40385	55088
423	40486	55001
424	40586	54911
425	40680	54813
426	40791	54738
427	40884	54639
428	40973	54536
429	41058	54426
430	41153	54330
431	41250	54237
432	41341	54135
433	41434	54037
434	41538	53951
435	41644	53870
436	41739	53773
437	41830	53672
438	41930	53583
439	42030	53493
440	42135	53409
441	42235	53320
442	42323	53214
443	42407	53105
444	42508	53015
445	42601	52917
446	42702	52828
447	42803	52740
448	42894	52638
449	42973	52522
450	43068	52426
451	43141	52304
452	43232	52203
453	43312	52089
454	43408	51994
455	43496	51890
456	43586	51789
457	43674	51684
458	43752	51568
459	43840	51465
460	43929	51362
461	44025	51267
462	44133	51187
463	44222	51084
464	44308	50978
465	44398	50876
466	44502	50792
467	44579	50676
468	44671	50576
469	44750	50463
470	44839	50361
471	44937	50269
472	45038	50180
473	45137	50089
474	45228	49989
475	45322	49893
476	45412	49791
477	45514	49704
478	45595	49593
479	45669	49474
480	45754	49369
481	45846	49270
482	45932	49165
483	46020	49063
484	46124	48977
485	46223	48887
486	46309	48781
487	46383	48664
488	46468	48559
489	46574	48475
490	46690	48402
491	46793	48315
492	46887	48219
493	46977	48118
494	47069	48020
495	47158	47919
496	47253	47823
497	47342	47722
498	47440	47630
499	47526	47526
500	47614	47424
501	47717	47337
502	47807	47237
503	47908	47148
504	47999	47048
505	48104	46963
506	48204	46873
507	48289	46768
508	48387	46676
509	48476	46575
510	48566	46475
511	48659	46378
512	48737	46267
513	48811	46152
514	48899	46050
515	48984	45946
516	49074	45847
517	49156	45740
518	49251	45645
519	49351	45555
520	49439	45454
521	49540	45364
522	49636	45270
523	49708	45154
524	49800	45057
525	49881	44950
526	49958	44839
527	50055	44746
528	50141	44643
529	50214	44530
530	50319	44444
531	50401	44337
532	50476	44226
533	50561	44123
534	50655	44027
535	50755	43937
536	50848	43841
537	50947	43750
538	51032	43647
539	51129	43554
540	51236	43470
541	51327	43372
542	51405	43263
543	51513	43180
544	51612	43089
545	51717	43002
546	51809	42905
547	51893	42802
548	51980	42701
549	52082	42613
550	52180	42521
551	52283	42433
552	52382	42341
553	52467	42239
554	52548	42133
555	52634	42031
556	52736	41943
557	52819	41839
558	52913	41743
559	53011	41652
560	53101	41553
561	53195	41458
562	53295	41368
563	53385	41269
564	53487	41181
565	53589	41091
566	53677	40991
567	53751	40881
568	53837	40779
569	53928	40682
570	54006	40575
571	54088	40471
572	54193	40385
573	54287	40290
574	54383	40196
575	54460	40088
576	54534	39979
577	54616	39875
578	54711	39781
579	54805	39686
580	54899	39591
581	54983	39489
582	55070	39390
583	55175	39302
584	55268	39207
585	55356	39108
586	55443	39008
587	55550	38923
588	55640	38825
589	55720	38721
590	55799	38615
591	55883	38514
592	55975	38418
593	56073	38326
594	56163	38229
595	56256	38133
596	56347	38036
597	56439	37940
598	56530	37844
599	56636	37757
600	56742	37671
601	56845	37582
602	56942	37489
603	57048	37402
604	57133	37301
605	57207	37194
606	57302	37100
607	57388	37000
608	57479	36903
609	57561	36801
610	57648	36702
611	57749	36612
612	57856	36525
613	57969	36443
614	58069	36352
615	58161	36256
616	58262	36166
617	58352	36068
618	58440	35970
619	58534	35876
620	58621	35777
621	58728	35690
622	58824	35596
623	58928	35508
624	59024	35414
625	59121	35321
626	59215	35227
627	59322	35140
628	59419	35047
629	59501	34945
630	59596	34851
631	59702	34763
632	59802	34672
633	59888	34572
634	59983	34478
635	60085	34388
636	60186	34297
637	60292	34209
638	60399	34122
639	60477	34018
640	60570	33923
641	60676	33834
642	60786	33749
643	60881	33654
644	60970	33557
645	61070	33465
646	61177	33378
647	61271	33283
648	61356	33183
649	61448	33087
650	61545	32994
651	61653	32906
652	61744	32810
653	61834	32713
654	61927	32618
655	62016	32520
656	62122	32432
657	62211	32334
658	62298	32236
659	62395	32143
660	62486	32046
661	62587	31955
662	62670	31855
663	62764	31760
664	62851	31662
665	62930	31559
666	63025	31465
667	63111	31366
668	63221	31279
669	63321	31188
670	63410	31090
671	63511	30999
672	63608	30906
673	63696	30808
674	63797	30717
675	63886	30619
676	63988	30529
677	64081	30433
678	64181	30342
679	64280	30249
680	64370	30153
681	64478	30064
682	64589	29977
683	64675	29879
684	64779	29789
685	64884	29699
686	64976	29603
687	65078	29512
688	65171	29417
689	65261	29320
690	65351	29223
691	65442	29127
692	65536	29032
693	65630	28937
694	65734	28847
695	65839	28757
696	65937	28664
697	66030	28569
698	66137	28479
699	66231	28384
700	66353	28301
701	66450	28208
702	66545	28113
703	66669	28031
704	66781	27944
705	66891	27855
706	66994	27764
707	67118	27681
708	67230	27593
709	67316	27495
710	67413	27401
711	67516	27310
712	67607	27213
713	67725	27128
714	67833	27038
715	67941	26948
716	68051	26859
717	68145	26764
718	68241	26669
719	68340	26576
720	68450	26487
721	68551	26395
722	68656	26304
723	68744	26206
724	68841	26112
725	68948	26021
726	69047	25928
727	69147	25835
728	69253	25744
